Day fraction since midnight on 2/19/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()	PC 1.3 Bin 1 ppb ()	PC 1.3 Bin 2 ppb ()	PC 1.3 Bin 3 ppb ()	PC 1.3 Bin 4 ppb ()	PC 1.3 Bin 5 ppb ()	PC 1.3 Bin 6 ppb ()	PC 1.3 Total ppb ()
0.62916041	4.09490728	6.35770607	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14372584	1.58487272	0.88192771	10075.59332	0	0	0	0	0	0	100	101	0	353	162	119	29	2	0	100	100	666	0.02305301	0.02718791	93.96331024	0.09399284	0.81333333	0	0.2	2.77999997	4.80000019	16.67000008	25.57999992	11.97000027	0	68.70999908
0.62921828	4.14025879	6.3574543	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14372584	1.58487272	0.88192771	10084.2331	0	0	0	0	0	0	100	101	0	353	162	119	29	2	0	100	100	666	0.02305301	0.02718791	93.96331024	0.09369195	0.81333333	0	0.3	2.96000004	4.80999994	17.30999947	26.28000069	22.72999954	0	93.52999878
0.62927617	4.11176109	6.35760498	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14647219	1.5855335	0.88192771	10088.64636	0	0	0	0	0	0	100	101	0	370	162	123	29	4	0	100	100	689	0.02305301	0.02718791	93.96331024	0.09376481	0.81333333	0	0.3	2.96000004	4.80999994	17.30999947	26.28000069	22.72999954	0	93.52999878
0.62933402	4.11440659	6.35750008	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14647219	1.5855335	0.88192771	10093.07761	0	0	0	0	0	0	100	101	0	370	162	123	29	4	0	100	100	689	0.02347275	0.02736086	93.92590332	0.09446507	0.81333333	0	0.3	2.96000004	4.80999994	17.30999947	26.28000069	22.72999954	0	93.52999878
0.62939191	4.12234592	6.35725641	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14439259	1.59643888	0.88192771	10097.28523	0	0	0	0	0	0	100	101	0	370	162	123	29	4	0	100	100	689	0.02347275	0.02736086	93.92590332	0.09449302	0.81333333	0	0.2	2.96000004	4.80999994	17.30999947	26.28000069	22.72999954	0	93.52999878
0.62944976	4.08473015	6.35721731	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14439259	1.59643888	0.88192771	10101.14283	0	0	0	0	0	0	100	101	0	370	162	123	29	4	0	100	100	689	0.02402061	0.02788449	93.81273651	0.09477996	0.81333333	0	0.2	2.96000004	4.80999994	17.30999947	26.28000069	22.72999954	0	93.52999878
0.62950763	4.10945702	6.35731077	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.15210743	1.59068561	0.88192771	10105.67302	0	0	0	0	0	0	100	101	0	370	162	123	29	4	0	100	100	689	0.02402061	0.02788449	93.81273651	0.09433205	0.81333333	0	0.2	2.96000004	4.80999994	17.30999947	26.28000069	22.72999954	0	93.52999878
0.6295655	4.12336826	6.35745335	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.15210743	1.59068561	0.88192771	10114.19273	0	0	0	0	0	0	100	101	0	364	157	124	31	4	1	100	100	681	0.02306485	0.02709352	93.98373413	0.09404638	0.81333333	0	0.2	2.91000009	4.71000004	17.60000038	26.43000031	21.06999969	0	92.65000153
0.62962338	4.1035037	6.3579855	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14479078	1.58579099	0.88192771	10118.61198	0	0	0	0	0	0	100	101	0	364	157	124	31	4	1	100	100	681	0.02306485	0.02709352	93.98373413	0.09495652	0.81333333	0	0.2	2.91000009	4.71000004	17.60000038	26.43000031	21.06999969	0	92.65000153
0.62968128	4.08777142	6.35779524	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14479078	1.58579099	0.88192771	10123.02624	0	0	0	0	0	0	100	101	0	364	157	124	31	4	1	100	100	681	0.02315268	0.02708085	93.98647308	0.09538232	0.81333333	0	0.2	2.91000009	4.71000004	17.60000038	26.43000031	21.06999969	0	92.65000153
