Day fraction since midnight on 12/19/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PID Control ()	Scale ()	PC1 & 2 pump #2 ()
0.0013876	44.14471054	6.99552822	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17603655	2.68203855	0.85714286	4343.727763	0	0	0	0	0	0	98	101	0	321	178	143	35	3	2	96	100	682	0.01967533	0.03279964	92.75710297	100.6107025	99.22049066	840.8	0.83181818
0.00144549	44.1506691	6.99568844	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17603655	2.68203855	0.85714286	4348.143175	0	0	0	0	0	0	98	101	0	321	178	143	35	3	2	96	100	682	0.01967533	0.03279964	92.75710297	100.5833435	99.22030389	840.7	0.83181818
0.00150335	44.11992645	6.99560118	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17508103	2.48287559	0.85714286	4356.60436	0	0	0	0	0	0	98	101	0	327	178	142	30	2	2	96	100	681	0.02866179	0.03198414	92.931427	100.6142044	99.22006233	840.7	0.83181818
0.00156123	44.22816849	6.99550581	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17508103	2.48287559	0.85714286	4361.019771	0	0	0	0	0	0	98	101	0	327	178	142	30	2	2	96	100	681	0.02866179	0.03198414	92.931427	100.6613159	99.21978426	840.7	0.83181818
0.00161909	44.13616943	6.99559021	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17265522	2.4178617	0.85714286	4365.243298	0	0	0	0	0	0	98	101	0	327	178	142	30	2	2	96	100	681	0.02899082	0.03259617	92.80056763	100.5995865	99.21970014	840.6	0.83181818
0.00167697	44.14543915	6.99552822	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17265522	2.4178617	0.85714286	4369.656711	0	0	0	0	0	0	98	101	0	327	178	142	30	2	2	96	100	681	0.02899082	0.03259617	92.80056763	100.6837997	99.21933888	840.5	0.83181818
0.00173483	44.19683075	6.99552631	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18536507	2.39233088	0.85714286	4374.0703	0	0	0	0	0	0	98	101	0	327	178	142	30	2	2	96	100	681	0.02899082	0.03259617	92.80056763	100.678009	99.21913027	840.5	0.83181818
0.00179272	44.13983154	6.99577522	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18536507	2.39233088	0.85714286	4378.101939	0	0	0	0	0	0	98	101	0	327	178	142	30	2	2	96	100	681	0.02899082	0.03259617	92.80056763	100.5895386	99.21909471	840.5	0.83181818
0.0018506	44.14050674	6.99559259	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20167151	2.25644708	0.85714286	4382.711236	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	98.00000999	101.00001	0.00000999	327.00001	178.00001	142.00001	30.00000999	2.00000999	2.00000999	96.00000999	100.00001	681.00001	0.02899999	0.03259999	92.80056999	100.505188	99.21907669	840.4	0.83181818
0.00190846	44.15365982	6.99569035	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20167151	2.25644708	0.85714286	4391.170279	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	98.00000999	101.00001	0.00000999	327.00001	178.00001	142.00001	30.00000999	2.00000999	2.00000999	96.00000999	100.00001	681.00001	0.02899999	0.03259999	92.80056999	100.5951309	99.21874928	840.4	0.83181818
0.00196634	44.153759	6.99553156	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20505205	2.25644708	0.85714286	4395.202075	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	98.00000999	101.00001	0.00000999	327.00001	178.00001	142.00001	30.00000999	2.00000999	2.00000999	96.00000999	100.00001	681.00001	0.02899999	0.03259999	92.80056999	100.7179642	99.21834114	840.3	0.83181818
0.00202422	44.14923859	6.99563169	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20505205	2.25644708	0.85714286	4399.615487	0	0	0	0	0	0	98	101	0	332	180	145	34	3	2	96	100	696	0.02897327	0.03279339	92.75843811	100.6127548	99.21830352	840.3	0.83181818
0.00208209	44.13920975	6.99560404	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.19336443	2.31896782	0.85714286	4404.030901	0	0	0	0	0	0	98	101	0	332	180	145	34	3	2	96	100	696	0.02897327	0.03279339	92.75843811	100.7464066	99.21783849	840.3	0.83181818
0.00213995	44.16509628	6.99532127	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.19336443	2.31896782	0.85714286	4408.254601	0	0	0	0	0	0	98	101	0	324	183	145	33	4	2	96	100	691	0.02970829	0.03263255	92.79279327	100.8057175	99.21748702	840.2	0.83181818
0.00219783	44.15110779	6.99580908	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.22199026	2.26552367	0.85714286	4412.476128	0	0	0	0	0	0	98	101	0	324	183	145	33	4	2	96	100	691	0.02970829	0.03263255	92.79279327	100.8110199	99.21723696	840.1	0.83181818
0.00225569	44.17873764	6.99558878	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.22199026	2.26552367	0.85714286	4421.131057	0	0	0	0	0	0	98	101	0	324	183	145	33	4	2	96	100	691	0.02873202	0.03276565	92.76436615	100.7823334	99.21714635	840.1	0.83181818
0.00231357	44.20215225	6.99563122	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.19966683	2.25560784	0.85714286	4425.352582	0	0	0	0	0	0	98	101	0	324	183	145	33	4	2	96	100	691	0.02957926	0.0331405	92.68434143	100.7232056	99.21691599	840.1	0.83181818
0.00237143	44.19184875	6.99566603	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.19966683	2.25560784	0.85714286	4429.574108	0	0	0	0	0	0	98	101	0	329	183	148	34	3	2	96	100	700	0.02957926	0.0331405	92.68434143	100.5951767	99.21695241	840	0.83181818
0.00242931	44.11871719	6.99563265	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.22320853	2.30173087	0.85714286	4434.565183	0	0	0	0	0	0	98	101	0	329	183	148	34	3	2	96	100	700	0.02957926	0.0331405	92.68434143	100.6879501	99.21658643	839.9	0.83181818
