Day fraction since midnight on 12/21/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Scale ()	PC1 & 2 pump #2 ()
0.00141003	35.74372864	6.99611807	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.30643058	2.61294961	0.85714286	10639.10507	0	0	0	0	0	0	44	101	0	958	382	226	24	1	4	98	100	1596	0.02778428	0.0309639	93.14997101	102.05777	519.1	0.83181818
0.00146789	35.76882172	6.99603891	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.30763111	2.36013317	0.85714286	10643.13479	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	44.00000999	101.00001	0.00000999	958.00001	382.00001	226.00001	24.00000999	1.00000999	4.00000999	98.00000999	100.00001	1596.00001	0.02778999	0.03096999	93.14997999	102.063324	519.1	0.83181818
0.00152577	35.81799316	6.99606037	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.30763111	2.36013317	0.85714286	10647.55209	0	0	0	0	0	0	44	101	0	917	381	229	25	1	3	98	100	1556	0.02780937	0.03109016	93.12289429	102.3140488	519.1	0.83181818
0.00158365	35.75736618	6.99605608	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.31605813	2.43815732	0.85714286	10651.98137	0	0	0	0	0	0	44	101	0	917	381	229	25	1	3	98	100	1556	0.02780937	0.03109016	93.12289429	102.2496643	519	0.83181818
0.00164151	35.7807579	6.99587059	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.31605813	2.43815732	0.85714286	10660.41021	0	0	0	0	0	0	44	101	0	917	381	229	25	1	3	98	100	1556	0.02748721	0.03089276	93.1652298	102.2800827	519	0.83181818
0.00169939	35.77383041	6.99613762	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.27923021	2.47959304	0.85714286	10664.64762	0	0	0	0	0	0	44	101	0	917	381	229	25	1	3	98	100	1556	0.02748721	0.03089276	93.1652298	102.1622009	519	0.83181818
0.00175728	35.73754883	6.99605036	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.23758237	2.41406536	0.85714286	10669.06312	0	0	0	0	0	0	44	101	0	917	381	229	25	1	3	98	100	1556	0.02793754	0.03090277	93.16308594	102.1907883	518.9	0.83181818
0.00181513	35.78848648	6.99605131	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.23758237	2.41406536	0.85714286	10673.28653	0	0	0	0	0	0	44	101	0	927	371	229	24	1	3	98	100	1556	0.02805017	0.03121733	93.09563446	102.0385666	518.9	0.83181818
0.00187299	35.75557709	6.9960413	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.23707263	2.38234091	0.85714286	10677.70183	0	0	0	0	0	0	44	101	0	927	371	229	24	1	3	98	100	1556	0.02805017	0.03121733	93.09563446	101.9536133	518.9	0.83181818
0.00193087	35.76686096	6.99618244	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.23707263	2.38234091	0.85714286	10683.26642	0	0	0	0	0	0	44	101	0	927	371	229	24	1	3	98	100	1556	0.02753194	0.03101116	93.13983917	101.9648361	518.9	0.83181818
