Day fraction since midnight on 2/1/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Large Scale ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()
0.00135835	42.42242050	6.99672508	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.40926123	3.35927081	0.84820394	7974.48387051	1411.00000000	609.00000000	609.00000000	457.00000000	226.00000000	52.00000000	98.00000000	100.00000000	3369.00000000	894.00000000	306.00000000	322.00000000	206.00000000	76.00000000	28.00000000	98.00000000	100.00000000	1836.00000000	0.01312550	0.03504799	92.27819061	101.53255463	0.00000000	0.81333333	1.00000000	312.90000000
0.00143703	42.43119049	6.99677849	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.29816997	3.27951312	0.84820394	7984.84961700	1418.00000000	615.00000000	606.00000000	463.00000000	229.00000000	53.00000000	98.00000000	100.00000000	3387.00000000	872.00000000	281.00000000	297.00000000	183.00000000	67.00000000	25.00000000	98.00000000	100.00000000	1729.00000000	0.01292857	0.03637314	91.99708557	101.07976532	0.00000000	0.81333333	1.00000000	312.90000000
0.00155684	42.41032410	6.99682283	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.29816997	3.27951312	0.84820394	7984.84961700	1418.00000000	615.00000000	606.00000000	463.00000000	229.00000000	53.00000000	98.00000000	100.00000000	3387.00000000	872.00000000	281.00000000	297.00000000	183.00000000	67.00000000	25.00000000	98.00000000	100.00000000	1729.00000000	0.01292857	0.03637314	91.99708557	101.07976532	0.00000000	0.81333333	1.00000000	312.90000000
0.00158983	42.44914246	6.99677896	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.23466349	3.27951312	0.84820394	7995.21536493	1424.00000000	601.00000000	615.00000000	454.00000000	224.00000000	53.00000000	98.00000000	100.00000000	3375.00000000	872.00000000	281.00000000	297.00000000	183.00000000	67.00000000	25.00000000	98.00000000	100.00000000	1729.00000000	0.01426265	0.03657930	91.95343018	100.91671753	0.00000000	0.81333333	1.00000000	312.80000000
0.00167703	42.40202332	6.99682951	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.23466349	3.27951312	0.84820394	7995.21536493	1424.00000000	601.00000000	615.00000000	454.00000000	224.00000000	53.00000000	98.00000000	100.00000000	3375.00000000	872.00000000	281.00000000	297.00000000	183.00000000	67.00000000	25.00000000	98.00000000	100.00000000	1729.00000000	0.01426265	0.03657930	91.95343018	100.91671753	0.00000000	0.81333333	1.00000000	312.80000000
0.00170557	42.41532516	6.99666595	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.26058650	3.35233331	0.84820394	8005.58111191	1424.00000000	601.00000000	615.00000000	454.00000000	224.00000000	53.00000000	98.00000000	100.00000000	3375.00000000	893.00000000	294.00000000	314.00000000	191.00000000	70.00000000	27.00000000	98.00000000	100.00000000	1794.00000000	0.01521707	0.03757524	91.74282074	100.91671753	0.00000000	0.81333333	1.00000000	312.80000000
0.00179700	42.45582199	6.99684763	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.26058650	3.35233331	0.84820394	8005.58111191	1424.00000000	601.00000000	615.00000000	454.00000000	224.00000000	53.00000000	98.00000000	100.00000000	3375.00000000	893.00000000	294.00000000	314.00000000	191.00000000	70.00000000	27.00000000	98.00000000	100.00000000	1794.00000000	0.01521707	0.03757524	91.74282074	100.91671753	0.00000000	0.81333333	1.00000000	312.80000000
0.00182131	42.45582962	6.99692297	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24110210	3.27675104	0.84820394	8015.96485233	1417.00000000	602.00000000	600.00000000	459.00000000	219.00000000	53.00000000	98.00000000	100.00000000	3354.00000000	893.00000000	294.00000000	314.00000000	191.00000000	70.00000000	27.00000000	98.00000000	100.00000000	1794.00000000	0.01504137	0.03708456	91.84652710	100.92023468	0.00000000	0.81333333	1.00000000	312.70000000
0.00191695	42.46992493	6.99684381	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24110210	3.27675104	0.84820394	8015.96485233	1417.00000000	602.00000000	600.00000000	459.00000000	219.00000000	53.00000000	98.00000000	100.00000000	3354.00000000	893.00000000	294.00000000	314.00000000	191.00000000	70.00000000	27.00000000	98.00000000	100.00000000	1794.00000000	0.01504137	0.03708456	91.84652710	100.92023468	0.00000000	0.81333333	1.00000000	312.70000000
0.00193708	42.46620178	6.99687719	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24110210	3.27675104	0.84820394	8026.33259678	1417.00000000	602.00000000	600.00000000	459.00000000	219.00000000	53.00000000	98.00000000	100.00000000	3354.00000000	893.00000000	294.00000000	314.00000000	191.00000000	70.00000000	27.00000000	98.00000000	100.00000000	1794.00000000	0.01504137	0.03708456	91.84652710	100.92023468	0.00000000	0.81333333	1.00000000	312.70000000
