Day fraction since midnight on 2/21/2021,2-3 μm,3-5 μm,5-9 μm,9-17 μm,17-33 μm,33-65 μm,Turb settled w/ blanket ()
0.749422603,3068.474747,1639.67,1519.79,759.2121212,206.5757576,43.06,3.649184321
0.755209678,2935.93,1506.76,1338.19,632.64,164.9,33.24,3.130177379
0.760996749,2737.37,1363.23,1177.29,539.18,135.77,27.16,2.76104212
0.766783817,2517.82,1218.41,1024.45,457.8,109.99,22.64,2.436570967
0.772570883,2348.59596,1111.737374,918.4444444,400.6767677,94.54545455,19.38,2.189362819
0.778357945,2225.72,1027.272727,835.2626263,361.6969697,86.14141414,19.81,2.158365113
0.784145008,2104.31,958.16,763.04,328.58,78.92,19.37,1.971246604
0.789932067,1988.39,888.08,711.41,302.38,73.42,18.81,1.944051528
0.795719125,1880.66,832.7676768,654.3939394,277.1818182,65.90909091,17.17,1.780152607
0.801506181,1783.18,782.03,608.99,258.66,61.44,16.87,1.709274024
0.807293235,1700.363636,735.989899,572.1515152,240.1010101,56.47474747,15.54545455,1.618996882
0.81308029,1612.92,693.67,537.86,223.42,52.21,13.95,1.540688319
0.818867341,1541.26,659.2424242,512.4545455,211.969697,48.83838384,14.49494949,1.483783816
0.824654393,1479.07,629.22,481.41,196.35,44.1,12.32,1.355030035
0.830441443,1394.959596,591.040404,456.0909091,188.4444444,44.02020202,14.14,1.371979835
0.836228491,1314.92,554.4,431.23,176.08,40.99,13.71,1.332577907
0.842015536,1260.86,531.17,413.88,170.46,39.91,13.15,1.277050145
0.847802583,1206.73,507.89,393.12,161.17,36.19,11.62,1.219310569
0.853589628,1148.83,482.29,376.35,154.94,35.07,11.48,1.168053115
0.859376671,1106.76,462.35,360.43,146.5,33.16,10.61,1.102896903
0.865163715,1052.333333,439.1818182,343.0707071,138.1919192,30.4040404,10.37373737,1.13165756
0.870950757,1014.919192,424.1111111,333.5050505,135.3838384,29.35353535,10.67,1.084530604
0.876737799,962.6600001,405.6800001,325.1800001,134.0600001,30.1700001,11.4500001,1.077564473
0.882524841,913.52,384.57,304.6,121.94,26.63,9.98,1.351158345
0.888311885,893.1616162,375.1212121,298.989899,120.1919192,26.21212121,10.66666667,1.020224099
0.894098924,858.3434343,362.6565657,293.1818182,120,26.66666667,11.27272727,1.023044534
0.899885965,821.16,345.08,279.72,111.8282828,24.1,10.23,0.962440154
0.905673006,796.02,336.56,275.6,108.45,22.03,9.58,0.948575464
0.911460047,775.6767677,333.1515152,272.989899,110.020202,23.36363636,10.32323232,1.033317973
0.91724708,738.7575758,314.030303,257.0808081,98.62626263,19.27272727,8.222222222,0.853311416
0.92303412,714.4949495,307.8888889,252.7979798,97.35353535,19.02020202,8.19,0.829445629
0.92882134,681.69,292.72,243.3,92.9,16.56,7.89,0.798230014
