Day fraction since midnight on 2/27/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()	PC 1.3 Bin 1 ppb ()	PC 1.3 Bin 2 ppb ()	PC 1.3 Bin 3 ppb ()	PC 1.3 Bin 4 ppb ()	PC 1.3 Bin 5 ppb ()	PC 1.3 Bin 6 ppb ()	PC 1.3 Total ppb ()
0.00116126	-0.18498193	6.33228111	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52744997	2.50660491	0.88192771	456213.25745201	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	588.00000000	422.00000000	526.00000000	371.00000000	183.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03659517	0.13987669	72.49085236	0.25580999	0.81333333	0.00000000	361.00000000	4.86999989	12.88000011	83.56999969	401.07998657	1299.52001953	0.00000000	4632.54003906
0.00121913	-0.16891804	6.33170986	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52744997	2.50660491	0.88192771	456218.05778313	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03739259	0.14080459	72.33615875	0.25569865	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00127702	-0.17324933	6.33140850	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.49394989	2.51179504	0.88192771	456222.08940554	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03739259	0.14080459	72.33615875	0.25575432	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00133488	-0.17747723	6.33202457	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.49394989	2.51179504	0.88192771	456226.31108952	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03801523	0.13978948	72.50541687	0.25593582	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00139275	-0.18797223	6.33089781	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52047944	2.52394891	0.88192771	456231.30514479	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03441565	0.13940167	72.57017517	0.25605756	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00145063	-0.15014057	6.33262014	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.52047944	2.52394891	0.88192771	456235.14104319	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	597.00000000	406.00000000	521.00000000	373.00000000	187.00000000	54.00000000	100.00000000	101.00000000	2140.00000000	0.03441565	0.13940167	72.57017517	0.25616610	0.81333333	0.00000000	361.00000000	4.94999981	12.43999958	82.91000366	405.94000244	1325.08996582	0.00000000	4560.58984375
0.00150849	-0.16315125	6.33219242	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61498034	2.51080871	0.88192771	456239.36455202	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	415.00000000	521.00000000	368.00000000	178.00000000	54.00000000	100.00000000	101.00000000	2141.00000000	0.03441565	0.13940167	72.57017517	0.25617570	0.81333333	0.00000000	361.10000000	4.98999977	12.89000034	81.66999817	401.23999023	1239.93005371	0.00000000	4674.08984375
0.00156636	-0.18899707	6.33201981	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61498034	2.51080871	0.88192771	456248.00445747	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	415.00000000	521.00000000	368.00000000	178.00000000	54.00000000	100.00000000	101.00000000	2141.00000000	0.03681055	0.13970624	72.51931000	0.25597140	0.81333333	0.00000000	361.00000000	4.98999977	12.89000034	81.66999817	401.23999023	1239.93005371	0.00000000	4674.08984375
0.00162425	-0.20214450	6.33217573	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.60838926	2.50313878	0.88192771	456252.43584299	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	415.00000000	521.00000000	368.00000000	178.00000000	54.00000000	100.00000000	101.00000000	2141.00000000	0.03714615	0.14086944	72.32535553	0.25613832	0.81333333	0.00000000	361.00000000	4.98999977	12.89000034	81.66999817	401.23999023	1239.93005371	0.00000000	4674.08984375
0.00168211	-0.17644905	6.33177710	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.60838926	2.50313878	0.88192771	456256.64349413	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	415.00000000	521.00000000	368.00000000	178.00000000	54.00000000	100.00000000	101.00000000	2141.00000000	0.03714615	0.14086944	72.32535553	0.25629136	0.81333333	0.00000000	361.00000000	4.98999977	12.89000034	81.66999817	401.23999023	1239.93005371	0.00000000	4674.08984375
0.00173999	-0.19271256	6.33232927	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61200190	2.50313878	0.88192771	456261.07511759	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	602.00000000	415.00000000	521.00000000	368.00000000	178.00000000	54.00000000	100.00000000	101.00000000	2141.00000000	0.03714615	0.14086944	72.32535553	0.25628814	0.81333333	0.00000000	361.00000000	4.98999977	12.89000034	81.66999817	401.23999023	1239.93005371	0.00000000	4674.08984375
0.00179785	-0.12835985	6.33163977	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.61200190	2.50313878	0.88192771	456265.10674000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	591.00000000	418.00000000	527.00000000	368.00000000	184.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03826044	0.14077440	72.34118652	0.25643712	0.81333333	0.00000000	361.00000000	4.90000010	12.85000038	83.25000000	398.57998657	1312.83996582	0.00000000	4837.37988281
0.00185573	-0.16012606	6.33288908	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.58940291	2.51963830	0.88192771	456273.74364614	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	591.00000000	418.00000000	527.00000000	368.00000000	184.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03826044	0.14077440	72.34118652	0.25610742	0.81333333	0.00000000	361.00000000	4.90000010	12.85000038	83.25000000	398.57998657	1312.83996582	0.00000000	4837.37988281
0.00191359	-0.18841866	6.33263206	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.58940291	2.51963830	0.88192771	456278.16104078	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	591.00000000	418.00000000	527.00000000	368.00000000	184.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03668043	0.14015156	72.44499969	0.25592682	0.81333333	0.00000000	361.00000000	4.90000010	12.85000038	83.25000000	398.57998657	1312.83996582	0.00000000	4837.37988281
0.00197148	-0.19468383	6.33212328	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.58940291	2.50913072	0.88192771	456282.19266415	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	591.00000000	418.00000000	527.00000000	368.00000000	184.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03668043	0.14015156	72.44499969	0.25563896	0.81333333	0.00000000	361.00000000	4.90000010	12.85000038	83.25000000	398.57998657	1312.83996582	0.00000000	4837.37988281
0.00202936	-0.15677957	6.33092499	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.57865143	2.50913072	0.88192771	456286.60606146	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	591.00000000	418.00000000	527.00000000	368.00000000	184.00000000	56.00000000	100.00000000	101.00000000	2148.00000000	0.03668043	0.14015156	72.44499969	0.25591221	0.81333333	0.00000000	361.00000000	4.88999987	12.69999981	81.06999969	384.76998901	1256.14001465	0.00000000	4515.45019531
0.00208722	-0.19686355	6.33261538	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.57865143	2.51009059	0.88192771	456291.21334410	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	589.00000000	410.00000000	515.00000000	361.00000000	177.00000000	55.00000000	100.00000000	101.00000000	2110.00000000	0.03491001	0.14081907	72.33374786	0.25639045	0.81333333	0.00000000	361.00000000	4.88999987	12.69999981	81.06999969	384.76998901	1256.14001465	0.00000000	4515.45019531
0.00214510	-0.18908449	6.33268547	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56889033	2.51209450	0.88192771	456295.26095676	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	589.00000000	410.00000000	515.00000000	361.00000000	177.00000000	55.00000000	100.00000000	101.00000000	2110.00000000	0.03491001	0.14081907	72.33374786	0.25637478	0.81333333	0.00000000	361.00000000	4.88999987	12.69999981	81.06999969	384.76998901	1256.14001465	0.00000000	4515.45019531
0.00220296	-0.19456170	6.33266163	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.56889033	2.51209450	0.88192771	456299.48646450	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	589.00000000	410.00000000	515.00000000	361.00000000	177.00000000	55.00000000	100.00000000	101.00000000	2110.00000000	0.03761831	0.14180763	72.16931152	0.25632682	0.81333333	0.00000000	361.00000000	4.88999987	12.69999981	81.06999969	384.76998901	1256.14001465	0.00000000	4515.45019531
0.00226084	-0.20351966	6.33143234	1.22000000	66.52173913	65.39325843	0.00000000	0.74534161	0.00000000	3.88000000	1.22000000	0.00000000	0.00000000	1.55529606	2.50547004	0.88192771	456308.89291668	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	71.00000000	101.00000000	0.00000000	589.00000000	410.00000000	515.00000000	361.00000000	177.00000000	55.00000000	100.00000000	101.00000000	2110.00000000	0.03928004	0.14204666	72.12960815	0.25621697	0.81333333	0.00000000	361.00000000	4.88999987	12.69999981	81.06999969	384.76998901	1256.14001465	0.00000000	4515.45019531
